Node,Betweenness,Indegree,Closeness,PageRank
0,0.009576098059244127,0.056179775280898875,0.41013824884792627,0.009756564614187335
1,0.12315500510725233,0.14606741573033707,0.4734042553191489,0.009854317783443816
2,0.0,0.07865168539325842,0.4258373205741627,0.020966371262210848
3,0.0007660878447395302,0.07865168539325842,0.4635416666666667,0.016598002018313334
4,0.0,0.06741573033707865,0.4063926940639269,0.0060444694341451315
5,0.011235955056179775,0.06741573033707865,0.3755274261603376,0.007751671238172425
6,0.0,0.3595505617977528,0.577922077922078,0.01546985072954088
7,0.08052221654749744,0.5955056179775281,0.6953125,0.01666861853310043
8,0.0,0.348314606741573,0.577922077922078,0.004121525433990912
9,0.008229060265577121,0.1348314606741573,0.47593582887700536,0.005272032592812474
10,0.009490977187606402,0.1348314606741573,0.48633879781420764,0.007547439324318565
11,0.0,0.1348314606741573,0.46842105263157896,0.011762011288385181
12,0.0,0.14606741573033707,0.4810810810810811,0.011383624420902072
13,0.0,0.0449438202247191,0.4427860696517413,0.01125413388398503
14,0.0,0.0449438202247191,0.4063926940639269,0.007814701343622185
15,0.00012768130745658836,0.056179775280898875,0.388646288209607,0.00943839891317765
16,0.0,0.056179775280898875,0.3991031390134529,0.007232870233790674
17,0.0,0.06741573033707865,0.4472361809045226,0.016440585723820268
18,0.0002553626149131767,0.0898876404494382,0.3755274261603376,0.013331016995178815
19,0.0011491317671092952,0.06741573033707865,0.356,0.01061402265771897
20,0.009576098059244127,0.056179775280898875,0.41203703703703703,0.004784948222687758
21,0.0005107252298263534,0.056179775280898875,0.4158878504672897,0.0047926174975954725
22,0.01085291113381001,0.16853932584269662,0.48633879781420764,0.016667760034250932
23,0.03049455226421519,0.14606741573033707,0.48633879781420764,0.011393037031495966
24,0.5065202587674493,0.3595505617977528,0.5894039735099338,0.005617362106793315
25,0.0,0.056179775280898875,0.41013824884792627,0.006604686373290599
26,0.011108273748723188,0.14606741573033707,0.47593582887700536,0.005747859134446533
27,0.0,0.14606741573033707,0.47593582887700536,0.006486565527417407
28,0.0,0.06741573033707865,0.3662551440329218,0.011901507266094737
29,0.00012768130745658836,0.07865168539325842,0.3603238866396761,0.021193293896991823
30,0.0,0.056179775280898875,0.4063926940639269,0.01132385873107669
31,0.0,0.056179775280898875,0.36929460580912865,0.010476224416380535
32,0.00012768130745658836,0.06741573033707865,0.33458646616541354,0.010497853071577643
33,0.019018130745658834,0.06741573033707865,0.33584905660377357,0.009926779052771145
34,0.0,0.11235955056179775,0.478494623655914,0.005212319576856861
35,0.010597548518896834,0.033707865168539325,0.4427860696517413,0.004417346118602138
36,0.040070650323459314,0.1797752808988764,0.483695652173913,0.014439090571315124
37,0.0,0.29213483146067415,0.5235294117647059,0.014809688662837366
38,0.0,0.348314606741573,0.5668789808917197,0.015085966925442654
39,0.0,0.5842696629213483,0.6846153846153846,0.01246137683731689
40,0.03817671092951992,0.348314606741573,0.5632911392405063,0.013256852725650116
41,0.025165985699693565,0.3595505617977528,0.577922077922078,0.005316516012330725
42,0.0,0.33707865168539325,0.5668789808917197,0.015760063369887972
43,0.0,0.15730337078651685,0.47593582887700536,0.014291942016133635
44,0.0,0.3258426966292135,0.5632911392405063,0.014350010461212525
45,0.0,0.33707865168539325,0.5705128205128205,0.014549602971164362
46,0.0,0.33707865168539325,0.559748427672956,0.012255719740979129
47,0.0,0.5955056179775281,0.6846153846153846,0.021032653699719846
48,0.021450459652706845,0.33707865168539325,0.5668789808917197,0.012097208434787532
49,0.0,0.348314606741573,0.5705128205128205,0.010588638041533082
50,0.04845505617977528,0.16853932584269662,0.489010989010989,0.015243024810986402
51,0.0,0.14606741573033707,0.4587628865979381,0.010856436702600893
52,0.34218590398365684,0.33707865168539325,0.559748427672956,0.01015241684856766
53,0.05439223697650664,0.348314606741573,0.5668789808917197,0.010152917348927431
54,0.0,0.1348314606741573,0.45408163265306123,0.011572294820220522
55,0.0,0.12359550561797752,0.4517766497461929,0.018692483704935692
56,0.018915985699693567,0.07865168539325842,0.3803418803418803,0.011421857201951893
57,0.010597548518896834,0.07865168539325842,0.3852813852813853,0.013708727354890492
58,0.11236593462717058,0.15730337078651685,0.483695652173913,0.008205857282396355
59,0.0,0.056179775280898875,0.4158878504672897,0.010283263708825364
60,0.0,0.15730337078651685,0.4734042553191489,0.010855554457092575
61,0.3350357507660879,0.348314606741573,0.5705128205128205,0.015778688264237194
62,0.044560776302349336,0.348314606741573,0.5741935483870968,0.005178464203958369
63,0.019465015321756894,0.14606741573033707,0.47593582887700536,0.013674919220039966
64,0.010725229826353423,0.3595505617977528,0.5705128205128205,0.009010803988911947
65,0.08241828396322778,0.348314606741573,0.5668789808917197,0.008949183506066964
66,0.0,0.0898876404494382,0.4238095238095238,0.015918801209672057
67,0.02400408580183861,0.10112359550561797,0.4258373205741627,0.016748439887968695
68,0.001787538304392237,0.10112359550561797,0.356,0.007393891486964807
69,0.02449565883554648,0.06741573033707865,0.36929460580912865,0.0049069863124520914
70,0.009810180456247871,0.06741573033707865,0.419811320754717,0.005187240848522918
71,0.02791964589717399,0.16853932584269662,0.489010989010989,0.007686413246912321
72,0.029834865509022816,0.11235955056179775,0.4810810810810811,0.008690318586395952
73,0.009595250255362616,0.11235955056179775,0.483695652173913,0.01509079158345622
74,0.02887512768130746,0.5955056179775281,0.7007874015748031,0.004848206616117581
75,0.04669305413687436,0.5842696629213483,0.6953125,0.006258590463724859
76,0.10487742594484167,0.1348314606741573,0.4218009478672986,0.008456790572199259
77,0.11939479060265579,0.11235955056179775,0.489010989010989,0.007357536633410958
78,1.4815628192032695,0.348314606741573,0.5705128205128205,0.0031571661176021935
79,0.8094143684031326,0.5955056179775281,0.689922480620155,0.010563935019779544
80,0.0,0.056179775280898875,0.3869565217391304,0.009213745143872054
81,0.05120020429009193,0.1348314606741573,0.48633879781420764,0.019661374406276334
82,0.02259959141981614,0.07865168539325842,0.4362745098039216,0.007655932685469531
