Node,Betweenness,Indegree,Closeness,PageRank
0,0.0,0.056179775280898875,0.41013824884792627,0.01296731234791186
1,0.0,0.14606741573033707,0.4734042553191489,0.013047439023846377
2,0.003105318782983809,0.07865168539325842,0.4258373205741627,0.021037360677118786
3,0.0013816583619815231,0.07865168539325842,0.4635416666666667,0.02470665796012027
4,0.011108273748723188,0.06741573033707865,0.4063926940639269,0.005525220966336667
5,0.011363636363636364,0.06741573033707865,0.3755274261603376,0.008729758324964823
6,0.009880022885071211,0.3595505617977528,0.577922077922078,0.013421012473246416
7,0.1284473953013279,0.5955056179775281,0.6953125,0.027721335704796606
8,7481.400293870759,0.348314606741573,0.577922077922078,0.004113520089634709
9,0.0,0.1348314606741573,0.47593582887700536,0.007500956269472193
10,0.007209594372761486,0.1348314606741573,0.48633879781420764,0.0070020527142507175
11,0.025034772602108114,0.1348314606741573,0.46842105263157896,0.011172341213180333
12,0.0,0.14606741573033707,0.4810810810810811,0.01269309162321214
13,0.0,0.0449438202247191,0.4427860696517413,0.01474816042524886
14,0.0,0.0449438202247191,0.4063926940639269,0.007369617582755528
15,0.0016859655206752486,0.056179775280898875,0.388646288209607,0.009502693342267885
16,0.0,0.056179775280898875,0.3991031390134529,0.007867112756698137
17,0.0,0.06741573033707865,0.4472361809045226,0.01469304580448241
18,0.0,0.0898876404494382,0.3755274261603376,0.01551677855070235
19,0.0012768130745658835,0.06741573033707865,0.356,0.012530847769893255
20,0.0024194574934089195,0.056179775280898875,0.41203703703703703,0.00363509467479311
21,0.022058255533289158,0.056179775280898875,0.4158878504672897,0.003776808389249786
22,0.056447717135407284,0.16853932584269662,0.48633879781420764,0.014032570868622184
23,0.06294974638461687,0.14606741573033707,0.48633879781420764,0.009400777844126443
24,0.26566588473407743,0.3595505617977528,0.5894039735099338,0.007309903074536272
25,0.00012768130745658836,0.056179775280898875,0.41013824884792627,0.005653121286994478
26,0.07810569366405178,0.14606741573033707,0.47593582887700536,0.006192161441428979
27,5.723617037673229e-06,0.14606741573033707,0.47593582887700536,0.005553175044179873
28,0.0,0.06741573033707865,0.3662551440329218,0.011585039117823182
29,0.0007660878447395302,0.07865168539325842,0.3603238866396761,0.016234532060822465
30,0.00012768130745658836,0.056179775280898875,0.4063926940639269,0.010530723500396107
31,0.0006384065372829418,0.056179775280898875,0.36929460580912865,0.008299352959682812
32,0.002553626149131767,0.06741573033707865,0.33458646616541354,0.00858551588299871
33,0.00012768130745658836,0.06741573033707865,0.33584905660377357,0.010721610843555133
34,0.0,0.11235955056179775,0.478494623655914,0.009177757898294137
35,0.0,0.033707865168539325,0.4427860696517413,0.007781170571364428
36,0.04162410623084781,0.1797752808988764,0.483695652173913,0.009953204158931308
37,0.006189654938437355,0.29213483146067415,0.5235294117647059,0.011556325986539922
38,0.0,0.348314606741573,0.5668789808917197,0.00900023822726377
39,0.0,0.5842696629213483,0.6846153846153846,0.011123317045517613
40,7.426350022438617,0.348314606741573,0.5632911392405063,0.003220340508405526
41,0.00975645452573164,0.3595505617977528,0.577922077922078,0.0036934381903497362
42,0.0,0.33707865168539325,0.5668789808917197,0.012801656657204565
43,0.0,0.15730337078651685,0.47593582887700536,0.011364658375714017
44,0.0,0.3258426966292135,0.5632911392405063,0.01020195199787464
45,0.0,0.33707865168539325,0.5705128205128205,0.008474129480958895
46,0.0,0.33707865168539325,0.559748427672956,0.013751965402136305
47,0.0,0.5955056179775281,0.6846153846153846,0.01731723208138832
48,0.0,0.33707865168539325,0.5668789808917197,0.010741068372932925
49,0.0050394738892291435,0.348314606741573,0.5705128205128205,0.005825959318060769
50,0.06256384065372829,0.16853932584269662,0.489010989010989,0.019824232567198147
51,0.0,0.14606741573033707,0.4587628865979381,0.007316044318415542
52,0.0,0.33707865168539325,0.559748427672956,0.010595184827747336
53,0.00011110177772896793,0.348314606741573,0.5668789808917197,0.006166618035579673
54,0.0,0.1348314606741573,0.45408163265306123,0.013677702359920989
55,0.0,0.12359550561797752,0.4517766497461929,0.01273542617403418
56,0.014678573362244918,0.07865168539325842,0.3803418803418803,0.01629769640926799
57,0.011491317671092953,0.07865168539325842,0.3852813852813853,0.015971470060644644
58,0.005435041774309345,0.15730337078651685,0.483695652173913,0.01276148052302352
59,0.00474361761557633,0.056179775280898875,0.4158878504672897,0.006807492770255096
60,0.0,0.15730337078651685,0.4734042553191489,0.019295354048406432
