Node,Betweenness,Indegree,Closeness,PageRank
0,0.00403326098741943,0.056179775280898875,0.41013824884792627,0.017905837633774433
1,0.008468621910097153,0.14606741573033707,0.4734042553191489,0.015229288595108196
2,0.0037992957486429084,0.07865168539325842,0.4258373205741627,0.022649206221013497
3,0.013085353545305099,0.07865168539325842,0.4635416666666667,0.019936794875320754
4,0.002470395246678955,0.06741573033707865,0.4063926940639269,0.006629897136831548
5,0.004099178967914736,0.06741573033707865,0.3755274261603376,0.008279008240472589
6,0.025209177772914166,0.3595505617977528,0.577922077922078,0.019686904164719247
7,0.0721246849078769,0.5955056179775281,0.6953125,0.019724237606106025
8,0.025112183225174695,0.348314606741573,0.577922077922078,0.0059484177388386605
9,0.012291215262364708,0.1348314606741573,0.47593582887700536,0.006787459910842603
10,0.012852726721603392,0.1348314606741573,0.48633879781420764,0.008316341230744451
11,0.012234391409107717,0.1348314606741573,0.46842105263157896,0.010717545496106231
12,0.011008902618371537,0.14606741573033707,0.4810810810810811,0.013908495263079438
13,0.0020071845684942495,0.0449438202247191,0.4427860696517413,0.01087617255217122
14,0.0012148579757309084,0.0449438202247191,0.4063926940639269,0.008951580504911306
15,0.001493476267010846,0.056179775280898875,0.388646288209607,0.012885413661864163
16,0.002777235731365929,0.056179775280898875,0.3991031390134529,0.009598128298097919
17,0.0024625570019012914,0.06741573033707865,0.4472361809045226,0.01557062520168832
18,0.007924223382116024,0.0898876404494382,0.3755274261603376,0.011678527820749199
19,0.00498150286162542,0.06741573033707865,0.356,0.010939235519329446
20,0.003844904351320044,0.056179775280898875,0.41203703703703703,0.005392668219278373
21,0.004569602916866173,0.056179775280898875,0.4158878504672897,0.004233652620298219
22,0.024059570998494005,0.16853932584269662,0.48633879781420764,0.014833827518952757
23,0.02005321559459566,0.14606741573033707,0.48633879781420764,0.009756248293577834
24,0.04123318111067325,0.3595505617977528,0.5894039735099338,0.007404501213671039
25,0.002628209583193381,0.056179775280898875,0.41013824884792627,0.006838135400130043
26,0.008373350650091567,0.14606741573033707,0.47593582887700536,0.005437659731513662
27,0.009194912808105384,0.14606741573033707,0.47593582887700536,0.0058722492756360795
28,0.002158908242256379,0.06741573033707865,0.3662551440329218,0.010144991196731774
29,0.003440805782554337,0.07865168539325842,0.3603238866396761,0.016327004635121135
30,0.007704088183839704,0.056179775280898875,0.4063926940639269,0.015216280854242658
31,0.006324990264597363,0.056179775280898875,0.36929460580912865,0.011220034739637752
32,0.00572555896715145,0.06741573033707865,0.33458646616541354,0.008800713158039035
33,0.00639788359101996,0.06741573033707865,0.33584905660377357,0.009207924499539437
34,0.012438037626320644,0.11235955056179775,0.478494623655914,0.006041634547259255
35,0.004079117504729973,0.033707865168539325,0.4427860696517413,0.007389839840499783
36,0.007136693173322334,0.1797752808988764,0.483695652173913,0.007008789415831624
37,0.016878703017698567,0.29213483146067415,0.5235294117647059,0.013274875165523604
38,0.0014613744277767323,0.348314606741573,0.5668789808917197,0.0036698343711618992
39,0.035563088546199405,0.5842696629213483,0.6846153846153846,0.015161789220171376
40,0.015536106782095495,0.348314606741573,0.5632911392405063,0.0031783860583214736
41,0.018318249185586045,0.3595505617977528,0.577922077922078,0.006700457558060317
42,0.00398595848916915,0.33707865168539325,0.5668789808917197,0.011571523201265777
43,0.005304333968310908,0.15730337078651685,0.47593582887700536,0.018736275698889335
44,0.010750160560941273,0.3258426966292135,0.5632911392405063,0.0077531692909489055
45,0.017216506737036983,0.33707865168539325,0.5705128205128205,0.01360927791754989
46,0.001187513147484952,0.33707865168539325,0.559748427672956,0.004450308285466838
47,0.044009285411927904,0.5955056179775281,0.6846153846153846,0.012131996817139907
48,0.01130651595962333,0.33707865168539325,0.5668789808917197,0.009302701663535909
49,0.008687832172245452,0.348314606741573,0.5705128205128205,0.010061484697320409
50,0.0032784992258821223,0.16853932584269662,0.489010989010989,0.010524508661539096
51,0.00026102365119951893,0.14606741573033707,0.4587628865979381,0.01305616978691787
52,0.0011285782577638143,0.33707865168539325,0.559748427672956,0.0016946951392551998
53,0.0014692805926149102,0.348314606741573,0.5668789808917197,0.0026467734507840987
54,0.0,0.1348314606741573,0.45408163265306123,0.0017889371176053458
55,0.0,0.12359550561797752,0.4517766497461929,0.004979726560837683
56,0.006475964496883103,0.07865168539325842,0.3803418803418803,0.01946876079447921
57,0.008005904079917654,0.07865168539325842,0.3852813852813853,0.01757173631211279
58,0.008064399104479003,0.15730337078651685,0.483695652173913,0.012343151141295824
59,0.0022991765152212172,0.056179775280898875,0.4158878504672897,0.010424455880091011
60,0.00869733325717318,0.15730337078651685,0.4734042553191489,0.023210618785846425
61,0.00886261757623913,0.348314606741573,0.5705128205128205,0.01284874297587127
62,0.01418830748658793,0.348314606741573,0.5741935483870968,0.006113958741686968
63,0.007399305781245335,0.14606741573033707,0.47593582887700536,0.015068064188867095
64,0.002261690105909924,0.3595505617977528,0.5705128205128205,0.015508698550851109
65,0.0019986197879094877,0.348314606741573,0.5668789808917197,0.015330756404774697
66,0.012842106108801342,0.0898876404494382,0.4238095238095238,0.013800362318852932
67,0.02256780785723561,0.10112359550561797,0.4258373205741627,0.016307441216478317
68,0.012103801745781299,0.10112359550561797,0.356,0.017113928605937297
69,0.007349875314381474,0.06741573033707865,0.36929460580912865,0.00473515077972956
70,0.00441618431379666,0.06741573033707865,0.419811320754717,0.01131580105400803
71,0.013311895070121978,0.16853932584269662,0.489010989010989,0.008128764015915856
72,0.01604945291276666,0.11235955056179775,0.4810810810810811,0.009755111451818016
73,0.01574561115759102,0.11235955056179775,0.483695652173913,0.010444791869126155
74,0.05787417848598927,0.5955056179775281,0.7007874015748031,0.0021811294446694887
75,0.0523653354066682,0.5842696629213483,0.6953125,0.006326662513799644
76,0.02041509959953712,0.1348314606741573,0.4218009478672986,0.01760630517434851
77,0.02194566592668352,0.11235955056179775,0.489010989010989,0.011502761803655706
78,0.026080665884217105,0.348314606741573,0.5705128205128205,0.003217480897369971
79,0.052726701748728545,0.5955056179775281,0.689922480620155,0.0075535723943795634
80,0.0009407490275706732,0.056179775280898875,0.3869565217391304,0.015112223525978324
81,0.005325116119329497,0.1348314606741573,0.48633879781420764,0.030251379539065724
82,0.0053204438331478044,0.07865168539325842,0.4362745098039216,0.006128610810882689
83,0.005185398198757466,0.06741573033707865,0.4362745098039216,0.014842663973385517
84,0.003989860215231861,0.14606741573033707,0.4587628865979381,0.012619768717432063
85,0.00048822765858215234,0.11235955056179775,0.4405940594059406,0.03613115948948877
86,0.04552510741176555,0.5842696629213483,0.6846153846153846,0.0017146830289455639
87,0.03962020633325531,0.550561797752809,0.664179104477612,0.006220433862157662
88,0.032516027079935846,0.5730337078651685,0.6793893129770993,0.0018289020552126843
89,0.002134135006401085,0.348314606741573,0.5668789808917197,0.0156338041874609
