Node,Betweenness,Indegree,Closeness,PageRank
0,0.0,0.056179775280898875,0.41013824884792627,0.008012075001941581
1,0.0,0.14606741573033707,0.4734042553191489,0.011953435659386183
2,0.0010214504596527069,0.07865168539325842,0.4258373205741627,0.019883210039440165
3,0.0015321756894790604,0.07865168539325842,0.4635416666666667,0.01847533509292376
4,0.0,0.06741573033707865,0.4063926940639269,0.009667807440943844
5,0.018258426966292134,0.06741573033707865,0.3755274261603376,0.0074160981513829065
6,0.0,0.3595505617977528,0.577922077922078,0.01585481576052433
7,0.01085291113381001,0.5955056179775281,0.6953125,0.023439433974912615
8,0.0,0.348314606741573,0.577922077922078,0.007023033597561365
9,0.0,0.1348314606741573,0.47593582887700536,0.007040467024348193
10,0.009446711691750157,0.1348314606741573,0.48633879781420764,0.006222734937617617
11,0.0,0.1348314606741573,0.46842105263157896,0.012770199517398098
12,0.0005512081423701149,0.14606741573033707,0.4810810810810811,0.015547684454523682
13,0.0,0.0449438202247191,0.4427860696517413,0.01362613418145406
14,0.0,0.0449438202247191,0.4063926940639269,0.010446099888219993
15,0.000591412283328679,0.056179775280898875,0.388646288209607,0.011189286707246036
16,0.0,0.056179775280898875,0.3991031390134529,0.010312123419576007
17,0.0,0.06741573033707865,0.4472361809045226,0.010875009282757635
18,0.0,0.0898876404494382,0.3755274261603376,0.012711999972383387
19,0.0,0.06741573033707865,0.356,0.010026512011490097
20,0.03372010552278002,0.056179775280898875,0.41203703703703703,0.0039779151473238045
21,0.03307413842065355,0.056179775280898875,0.4158878504672897,0.0034364072737538137
22,0.009703779366700716,0.16853932584269662,0.48633879781420764,0.013797027567690464
23,0.010980592441266599,0.14606741573033707,0.48633879781420764,0.011627962110240546
24,119.9827146183967,0.3595505617977528,0.5894039735099338,0.005693275429646747
25,0.0,0.056179775280898875,0.41013824884792627,0.006561379168448578
26,0.001278163659928763,0.14606741573033707,0.47593582887700536,0.006605368208488855
27,0.020839427136762918,0.14606741573033707,0.47593582887700536,0.005103961369902763
28,0.0,0.06741573033707865,0.3662551440329218,0.018548399330926574
29,0.00012768130745658836,0.07865168539325842,0.3603238866396761,0.017519261052298812
30,0.0015303093285367125,0.056179775280898875,0.4063926940639269,0.009195719181033358
31,0.0005107252298263534,0.056179775280898875,0.36929460580912865,0.009665811578386918
32,0.0021705822267620023,0.06741573033707865,0.33458646616541354,0.009009426742738611
33,0.0005107252298263534,0.06741573033707865,0.33584905660377357,0.008842610095165744
34,0.0,0.11235955056179775,0.478494623655914,0.005283491826894374
35,0.0,0.033707865168539325,0.4427860696517413,0.006354373285689741
36,0.0,0.1797752808988764,0.483695652173913,0.011167596040505243
37,0.0006735782822595769,0.29213483146067415,0.5235294117647059,0.014987869741255964
38,0.0,0.348314606741573,0.5668789808917197,0.009895718065293622
39,0.0,0.5842696629213483,0.6846153846153846,0.012820109861097108
40,0.042329046485260716,0.348314606741573,0.5632911392405063,0.0031647160180135725
