Node,Betweenness,Indegree,Closeness,PageRank
0,0.00403326098741943,0.056179775280898875,0.41013824884792627,0.013444855926786863
1,0.008468621910097153,0.14606741573033707,0.4734042553191489,0.012271606048854425
2,0.0037992957486429084,0.07865168539325842,0.4258373205741627,0.020401937087691155
3,0.013085353545305099,0.07865168539325842,0.4635416666666667,0.02257269112571818
4,0.002470395246678955,0.06741573033707865,0.4063926940639269,0.007950297145178375
5,0.004099178967914736,0.06741573033707865,0.3755274261603376,0.01177103215370193
6,0.025209177772914166,0.3595505617977528,0.577922077922078,0.016589309643638726
7,0.0721246849078769,0.5955056179775281,0.6953125,0.0191141378738912
8,0.025112183225174695,0.348314606741573,0.577922077922078,0.005205855403251781
9,0.012291215262364708,0.1348314606741573,0.47593582887700536,0.009445616372914706
10,0.012852726721603392,0.1348314606741573,0.48633879781420764,0.010772937757520917
11,0.012234391409107717,0.1348314606741573,0.46842105263157896,0.010240268866111464
12,0.011008902618371537,0.14606741573033707,0.4810810810810811,0.01222581635843635
13,0.0020071845684942495,0.0449438202247191,0.4427860696517413,0.009991484684702139
14,0.0012148579757309084,0.0449438202247191,0.4063926940639269,0.00828550804334559
15,0.001493476267010846,0.056179775280898875,0.388646288209607,0.011957153479067655
16,0.002777235731365929,0.056179775280898875,0.3991031390134529,0.0112386624878566
17,0.0024625570019012914,0.06741573033707865,0.4472361809045226,0.014084568426739896
18,0.007924223382116024,0.0898876404494382,0.3755274261603376,0.011521392022526666
19,0.00498150286162542,0.06741573033707865,0.356,0.01136264978725361
20,0.003844904351320044,0.056179775280898875,0.41203703703703703,0.0054565074896555975
21,0.004569602916866173,0.056179775280898875,0.4158878504672897,0.00514709022139568
22,0.024059570998494005,0.16853932584269662,0.48633879781420764,0.014530251247803005
23,0.02005321559459566,0.14606741573033707,0.48633879781420764,0.010603217050238204
24,0.04123318111067325,0.3595505617977528,0.5894039735099338,0.006031396158700849
25,0.002628209583193381,0.056179775280898875,0.41013824884792627,0.005862558514463414
26,0.008373350650091567,0.14606741573033707,0.47593582887700536,0.006455377026662444
27,0.009194912808105384,0.14606741573033707,0.47593582887700536,0.007122973049725019
28,0.002158908242256379,0.06741573033707865,0.3662551440329218,0.013717675462682528
29,0.003440805782554337,0.07865168539325842,0.3603238866396761,0.017544610625123733
30,0.007704088183839704,0.056179775280898875,0.4063926940639269,0.010459224777998722
31,0.006324990264597363,0.056179775280898875,0.36929460580912865,0.008879084818761486
32,0.00572555896715145,0.06741573033707865,0.33458646616541354,0.008516233848356647
33,0.00639788359101996,0.06741573033707865,0.33584905660377357,0.00829001367660137
34,0.012438037626320644,0.11235955056179775,0.478494623655914,0.005945855057375197
35,0.004079117504729973,0.033707865168539325,0.4427860696517413,0.006098930037569797
36,0.007136693173322334,0.1797752808988764,0.483695652173913,0.01183397680787678
37,0.016878703017698567,0.29213483146067415,0.5235294117647059,0.014033867848858857
38,0.0014613744277767323,0.348314606741573,0.5668789808917197,0.009300897219573617
39,0.035563088546199405,0.5842696629213483,0.6846153846153846,0.011351405629478945
40,0.015536106782095495,0.348314606741573,0.5632911392405063,0.003994922752659671
41,0.018318249185586045,0.3595505617977528,0.577922077922078,0.0046162698258679045
42,0.00398595848916915,0.33707865168539325,0.5668789808917197,0.01320081723988548
43,0.005304333968310908,0.15730337078651685,0.47593582887700536,0.012597447646075566
44,0.010750160560941273,0.3258426966292135,0.5632911392405063,0.01143800643118143
45,0.017216506737036983,0.33707865168539325,0.5705128205128205,0.011962902138402209
46,0.001187513147484952,0.33707865168539325,0.559748427672956,0.013292018259021168
47,0.044009285411927904,0.5955056179775281,0.6846153846153846,0.018914572834150316
48,0.01130651595962333,0.33707865168539325,0.5668789808917197,0.012197173019266826
49,0.008687832172245452,0.348314606741573,0.5705128205128205,0.008829882686037691
50,0.0032784992258821223,0.16853932584269662,0.489010989010989,0.014449463214800435
51,0.00026102365119951893,0.14606741573033707,0.4587628865979381,0.010464549182235496
52,0.0011285782577638143,0.33707865168539325,0.559748427672956,0.007358469454218012
53,0.0014692805926149102,0.348314606741573,0.5668789808917197,0.00914300364876006
54,0.0,0.1348314606741573,0.45408163265306123,0.01244961588563763
55,0.0,0.12359550561797752,0.4517766497461929,0.015177699656810737
56,0.006475964496883103,0.07865168539325842,0.3803418803418803,0.012878001748825937
57,0.008005904079917654,0.07865168539325842,0.3852813852813853,0.015201926027444867
58,0.008064399104479003,0.15730337078651685,0.483695652173913,0.009433441786634921
59,0.0022991765152212172,0.056179775280898875,0.4158878504672897,0.00872641274927458
60,0.00869733325717318,0.15730337078651685,0.4734042553191489,0.012299891718145302
61,0.00886261757623913,0.348314606741573,0.5705128205128205,0.014862150044053944
62,0.01418830748658793,0.348314606741573,0.5741935483870968,0.0061460572752297625
63,0.007399305781245335,0.14606741573033707,0.47593582887700536,0.010127301296896886
64,0.002261690105909924,0.3595505617977528,0.5705128205128205,0.008280773254928368
65,0.0019986197879094877,0.348314606741573,0.5668789808917197,0.011849717848597313
66,0.012842106108801342,0.0898876404494382,0.4238095238095238,0.017363657055098253
67,0.02256780785723561,0.10112359550561797,0.4258373205741627,0.016010966901475125
68,0.012103801745781299,0.10112359550561797,0.356,0.006084808588192373
69,0.007349875314381474,0.06741573033707865,0.36929460580912865,0.004540882276512955
70,0.00441618431379666,0.06741573033707865,0.419811320754717,0.007360258744753178
